WKT,name,description
"POLYGON ((-0.2764219 5.6840554, -0.2844042 5.6805536, -0.2787393 5.6674859, -0.2656931 5.669792, -0.2661318 5.6765147, -0.2764219 5.6840554))",rev john teye,
"POLYGON ((-0.2656931 5.669792, -0.2500719 5.6685962, -0.2500815 5.677625, -0.2661318 5.6765147, -0.2656931 5.669792))",off_zone 1,
"POLYGON ((-0.2500719 5.6685962, -0.2387422 5.6693649, -0.2374548 5.6799558, -0.2402968 5.6811269, -0.2505965 5.6781375, -0.2500719 5.6685962))",makers house,
"POLYGON ((-0.2387422 5.6693649, -0.2260393 5.6708169, -0.2289575 5.6817494, -0.2394289 5.6810661, -0.2367681 5.6799558, -0.2387422 5.6693649))",ga_east1,
"POLYGON ((-0.2260393 5.6708169, -0.2108473 5.6806391, -0.2199549 5.6853119, -0.2289575 5.6817494, -0.2260393 5.6708169))",ga east 2,
"POLYGON ((-0.2845758 5.6810661, -0.2764219 5.6840554, -0.2718729 5.6998558, -0.283975 5.6925108, -0.2845758 5.6810661))",pokuase_c,
"POLYGON ((-0.2108473 5.6806391, -0.2060504 5.6889844, -0.2199549 5.6853119, -0.2108473 5.6806391))",ga_east_3,
"POLYGON ((-0.1904196 5.6937919, -0.2060504 5.6889844, -0.2108473 5.6806391, -0.1983346 5.6801469, -0.1904196 5.6937919))",ecomoc,
"POLYGON ((-0.2260393 5.6708169, -0.1983346 5.6801469, -0.2108473 5.6806391, -0.2260393 5.6708169))",east_4,
"POLYGON ((-0.283975 5.6925108, -0.2718729 5.6998558, -0.2753042 5.7040405, -0.2885221 5.699087, -0.283975 5.6925108))",near_ACP,
"POLYGON ((-0.2751325 5.704553, -0.2753042 5.7040405, -0.2718729 5.6998558, -0.2566905 5.7072614, -0.260198 5.7111292, -0.2751325 5.704553))",knust_kwabenya,
"POLYGON ((-0.260198 5.7111292, -0.2566905 5.7072614, -0.2443308 5.7158873, -0.2407268 5.7256209, -0.2500699 5.7228295, -0.260198 5.7111292))",kwabenya_5,
"POLYGON ((-0.2500699 5.7228295, -0.2407268 5.7256209, -0.2411559 5.7360399, -0.2500699 5.7228295))",osvee,
"POLYGON ((-0.2885971 5.6994245, -0.2753042 5.7040405, -0.2805719 5.7084348, -0.2851639 5.7096732, -0.2913866 5.7021148, -0.2885971 5.6994245))",osca,
"POLYGON ((-0.2849064 5.7098867, -0.2805719 5.7084348, -0.2754221 5.7044635, -0.2658949 5.708691, -0.2722034 5.7128759, -0.2849064 5.7098867))",royal near,
"POLYGON ((-0.2722034 5.7128759, -0.2658949 5.708691, -0.260198 5.7111292, -0.2500699 5.7228295, -0.2722034 5.7128759))",zohar,
"POLYGON ((-0.2850351 5.7102283, -0.2849064 5.7098867, -0.2722034 5.7128759, -0.2503595 5.7227827, -0.2704439 5.7200071, -0.2850351 5.7102283))",charfort,
"POLYGON ((-0.2704439 5.7200071, -0.2500699 5.7228295, -0.2560973 5.7287822, -0.2704439 5.7200071))",nelwyn,
"POLYGON ((-0.2560973 5.7287822, -0.2500699 5.7228295, -0.2419352 5.7350592, -0.2560973 5.7287822))",boundary ln,
"POLYGON ((-0.1983346 5.6801469, -0.18993 5.6799823, -0.1821194 5.6898897, -0.1904196 5.6937919, -0.1983346 5.6801469))",NorthLegon,
"POLYGON ((-0.1822052 5.6901886, -0.1809178 5.6995834, -0.1907025 5.7021029, -0.1904196 5.6937919, -0.1822052 5.6901886))",sakora,
"POLYGON ((-0.19103 5.7069198, -0.1907025 5.7021029, -0.1809178 5.6995834, -0.1808748 5.7060316, -0.19103 5.7069198))",mega,
"POLYGON ((-0.19096 5.7072248, -0.19103 5.7069198, -0.1808748 5.7060316, -0.1880417 5.7150393, -0.1983256 5.7162289, -0.19096 5.7072248))",PNT,
"POLYGON ((-0.2104687 5.7282408, -0.1983256 5.7162289, -0.1880417 5.7150393, -0.1958737 5.7277786, -0.2104687 5.7282408))",nyamekrom,
"POLYGON ((-0.2126574 5.7387451, -0.2104687 5.7282408, -0.1958737 5.7277786, -0.197126 5.732918, -0.2126574 5.7387451))",abokobi station,
